L,M,Sr,mean_ms,median_ms,std_ms,min_ms,max_ms,memory_bytes,allocations
32,15,3.0,257.20278355,256.325314,3.124687322927856,251.583483,263.443366,9843792,126023
64,15,3.0,302.8672132352941,301.597324,5.67602279194766,296.937163,319.295559,10476576,126025
128,15,3.0,455.0740913333333,452.794288,8.996747575109193,443.236177,472.443367,13007904,126025
256,15,3.0,1710.2450913333332,1711.054494,6.961532233259381,1702.914238,1716.766542,23133216,126025
512,15,3.0,5430.756798,5430.756798,NaN,5430.756798,5430.756798,63638488,126025
1024,15,3.0,20810.135202,20810.135202,NaN,20810.135202,20810.135202,225647504,126025
2048,15,3.0,73874.016853,73874.016853,NaN,73874.016853,73874.016853,873667472,126025
