L,M,Sr,mean_ms,median_ms,std_ms,min_ms,max_ms,memory_bytes,allocations
32,15,3.0,34.50393869655173,34.599014,1.3817447878417835,28.77571,38.315319,1439048,4024
64,15,3.0,145.03249317142857,145.24593,5.653357372649914,131.876043,163.055772,5153648,5025
128,15,3.0,611.4552391111112,611.899045,12.2934373608233,595.094704,629.74234,20108144,5025
256,15,3.0,2650.875268,2650.875268,39.41130072778629,2623.00727,2678.743266,79926128,5025
512,15,3.0,14847.558763,14847.558763,NaN,14847.558763,14847.558763,319202088,5025
1024,15,3.0,68901.577047,68901.577047,NaN,68901.577047,68901.577047,1276289832,5025
2048,15,3.0,290009.756776,290009.756776,NaN,290009.756776,290009.756776,5104648856,5025
