L,M,Sr,mean_ms,median_ms,std_ms,min_ms,max_ms,memory_bytes,allocations
32,15,3.0,120.05122161904761,98.6714875,75.31778960803459,90.60317,578.952797,3815808,141073
64,15,3.0,163.58061496774192,124.616306,141.24111041480785,117.361029,910.164263,6437288,220219
128,15,3.0,158.66905571875,127.523327,140.142779695851,116.8581,916.901283,6977000,219391
256,15,3.0,217.5112403043478,193.549554,88.48529051027823,188.53242,617.895128,9402088,232661
512,15,3.0,589.321959,569.441782,59.92666132491868,562.402783,748.571278,21750568,451470
1024,15,3.0,1831.265475,1819.025328,34.47185321084622,1804.583982,1870.187115,57414728,468544
2048,15,3.0,6857.05469,6857.05469,NaN,6857.05469,6857.05469,199751792,516511
4096,15,3.0,28119.127235,28119.127235,NaN,28119.127235,28119.127235,768469432,669829
8192,15,3.0,112268.031687,112268.031687,NaN,112268.031687,112268.031687,3034499296,731174
