threads,runtime,speedup,efficiency
1,77.60661724,1.0,1.0
2,44.970640504,1.725717409630782,0.862858704815391
4,27.14168923,2.8593141930982164,0.7148285482745541
8,20.453254634,3.794340735923388,0.4742925919904235
